"CL(alpha), created by Plot Digitizer, 2.6.6"
"Date: 12/6/17, 1:19:16 PM"


41
Re,alpha,CL
3000,-10,-0.219429,
3000,-5,-0.283245,
3000,0,-0.512817,
3000,10,0.0437177,
3000,25,0.913796,
3000,30,1.13211,
3000,35,1.14589,
3000,40,1.08559,
3000,45,1.05000,
3000,50,1.01792,
3000,55,0.961161,
3000,60,0.883239,
5000,-10,-0.406346,
5000,-5,-0.579492,
5000,0,-0.660933,
5000,5,-0.541371,
5000,10,0.121296,
5000,15,0.547685,
5000,20,0.829485,
5000,25,0.973746,
5000,30,1.14622,
5000,35,1.22699,
5000,40,1.26898,
5000,45,1.21575,
5000,50,1.12019,
5000,55,1.03169,
5000,60,0.981981,
7000,-10,-0.490985,
7000,-5,-0.660601,
7000,5,-0.513153,
7000,10,0.181249,
7000,15,0.579429,
7000,20,0.903549,
7000,25,1.05133,
7000,30,1.22028,
7000,35,1.34338,
7000,40,1.31483,
7000,45,1.30391,
7000,50,1.17308,
7000,55,1.07401,
7000,60,0.978454,
