#       x-coordinate        y-coordinate
            0.129823             0.20563
            0.126364            0.207639
            0.122901             0.20964
            0.119432            0.211631
            0.115956            0.213612
            0.112474             0.21558
            0.108982            0.217531
            0.105477             0.21946
            0.101958             0.22136
           0.0984191            0.223225
           0.0948573            0.225046
           0.0912629              0.2268
           0.0876332            0.228481
           0.0839662             0.23008
            0.080263             0.23159
           0.0765214            0.233005
           0.0727433            0.234319
           0.0689303            0.235529
           0.0650841            0.236627
            0.061216            0.237643
           0.0573289            0.238591
           0.0534293            0.239478
           0.0495179            0.240317
           0.0455987            0.241117
           0.0416743             0.24189
           0.0377472            0.242648
           0.0338171            0.243393
           0.0298849            0.244126
           0.0259499            0.244849
            0.022014            0.245557
           0.0180735            0.246248
           0.0141298            0.246916
           0.0101819            0.247557
          0.00622844            0.248168
          0.00226862            0.248731
         -0.00169734            0.249252
         -0.00566881            0.249733
          -0.0096447            0.250171
          -0.0136256            0.250562
          -0.0176111            0.250899
          -0.0216002            0.251199
           -0.025591            0.251463
          -0.0295846            0.251694
          -0.0335808            0.251876
          -0.0375779            0.252027
          -0.0415757            0.252145
          -0.0455751            0.252228
          -0.0495745            0.252267
          -0.0535745            0.252272
          -0.0575741            0.252247
          -0.0615743             0.25219
          -0.0655727            0.252089
          -0.0695713            0.251961
          -0.0735678            0.251809
          -0.0775638            0.251628
          -0.0815575             0.25141
          -0.0855508             0.25117
          -0.0895427            0.250908
          -0.0935313            0.250617
           -0.097519            0.250298
           -0.101504            0.249957
           -0.105487            0.249593
           -0.109468            0.249197
           -0.113446            0.248785
           -0.117424            0.248356
           -0.121397            0.247894
           -0.125368            0.247416
           -0.129338            0.246922
           -0.133303            0.246402
           -0.137268            0.245867
            -0.14123             0.24532
            -0.14519            0.244754
           -0.149148            0.244173
           -0.153104            0.243582
           -0.157058            0.242976
            -0.16101            0.242359
            -0.16496            0.241732
           -0.168909            0.241094
           -0.172855             0.24044
             -0.1768            0.239778
           -0.180742            0.239103
           -0.184682            0.238411
            -0.18862            0.237708
           -0.192555            0.236988
           -0.196487            0.236255
           -0.200418            0.235513
           -0.204344            0.234748
           -0.208268            0.233972
            -0.21219            0.233187
           -0.216109            0.232383
           -0.220025            0.231571
            -0.22394            0.230751
           -0.227851            0.229914
           -0.231762            0.229071
            -0.23567            0.228218
           -0.239575            0.227354
           -0.243479            0.226484
